PMID	Journal	Title	Authors	 
11246059	Eur J Heart Fail. 2001 Mar;3(2):209-15.	"Elimination of early rehospitalization in a randomized, controlled trial of multidisciplinary care in a high-risk, elderly heart failure population: the potential contributions of specialist care, clinical stability and optimal angiotensin-converting enzyme inhibitor dose at discharge."	"McDonald K(1), Ledwidge M, Cahill J, Kelly J, Quigley P, Maurer B, Begley F, Ryder M, Travers B, Timmons L, Burke T."	 
CID: PMC3105322 PMID: 21531966	Policy Polit Nurs Pract. 2010 Nov;11(4):309-16. doi: 10.1177/1527154411398490.	Medicare readmissions policies and racial and ethnic health disparities: a cautionary tale.	"McHugh MD(1), Carthon JM, Kang XL."	 
22891801	Congest Heart Fail. 2012 Sep-Oct;18 Suppl 1:S14-6. doi: 10.1111/j.1751-7133.2012.00304.x.	Post-acute care: the role of natriuretic peptides.	"Maisel A(1), Januzzi J, Xue Y, Silver MA."	 
12943883	Am J Cardiol. 2003 Sep 1;92(5):593-5.	Outcomes of coronary artery bypass grafting in patients with a history of illicit drug use.	"Misra P(1), Caldito GC, Kakkar AK, Mancini MC, Reddy PC."	 
22093405	Med Clin (Barc). 2012 Nov 3;139(11):479-86. doi: 10.1016/j.medcli.2011.05.029. Epub 2011 Nov 16.	[Carbohydrate antigen 125 serial measurements after an admission for acute heart  failure and risk of early readmission].	[Article in Spanish]	 
23814952	"Hosp Health Netw. 2013 May;87(5):40, 49-50, 1."	A focus on heart failure.	Aston G.	 
22484978	Circ J. 2012;76(7):1654-61. Epub 2012 Apr 7.	Functional limitations predict the risk of rehospitalization among patients with  chronic heart failure.	"Yamada S(1), Shimizu Y, Suzuki M, Izumi T; PTMaTCH collaborators."	 
CID: PMC2888008 PMID: 20539163	J Cardiovasc Nurs. 2010 Jul-Aug;25(4):284-91. doi: 10.1097/JCN.0b013e3181cfbcbb.	Symptom clusters predict event-free survival in patients with heart failure.	"Song EK(1), Moser DK, Rayens MK, Lennie TA."	 
22367574	J Cardiovasc Med (Hagerstown). 2012 May;13(5):299-306. doi: 10.2459/JCM.0b013e328351677f.	Edema index established by a segmental multifrequency bioelectrical impedance analysis provides prognostic value in acute heart failure.	"Liu MH(1), Wang CH, Huang YY, Tung TH, Lee CM, Yang NI, Liu PC, Cherng WJ."	 
19652398	Circ J. 2009 Oct;73(10):1901-8. Epub 2009 Aug 4.	Anemia is an independent predictor of long-term adverse outcomes in patients hospitalized with heart failure in Japan. A report from the Japanese Cardiac Registry of Heart Failure in Cardiology (JCARE-CARD).	"Hamaguchi S(1), Tsuchihashi-Makaya M, Kinugawa S, Yokota T, Takeshita A, Yokoshiki H, Tsutsui H; JCARE-CARD Investigators."	 
19755193	Heart Lung. 2009 Sep-Oct;38(5):427-34. doi: 10.1016/j.hrtlng.2008.12.002. Epub 2009 Jan 21.	"Reasons for readmission in heart failure: Perspectives of patients, caregivers, cardiologists, and heart failure nurses."	"Annema C(1), Luttik ML, Jaarsma T."	 
24114926	Clin Cardiol. 2013 Dec;36(12):757-65. doi: 10.1002/clc.22206. Epub 2013 Oct 1.	Postdischarge international normalized ratio testing and long-term clinical outcomes of patients with heart failure receiving warfarin: findings from the ADHERE registry linked to Medicare claims.	"Qualls LG(1), Greiner MA, Eapen ZJ, Fonarow GC, Mills RM, Klaskala W, Hernandez AF, Curtis LH."	 
18331965	Eur J Heart Fail. 2008 Mar;10(3):222-3. doi: 10.1016/j.ejheart.2008.02.014.	Heart failure in the elderly: how risky is it to be discharged?	"Nieminen MS, Harjola VP."	 
24361056	Arch Cardiovasc Dis. 2014 Jan;107(1):10-20. doi: 10.1016/j.acvd.2013.10.005. Epub 2013 Dec 18.	Predictors of 6-month poor clinical outcomes after transcatheter aortic valve implantation.	"Auffret V(1), Boulmier D(2), Oger E(3), Bedossa M(2), Donal E(2), Laurent M(2), Sost G(4), Beneux X(5), Harmouche M(5), Verhoye JP(5), Le Breton H(2)."	 
20940649	Med Care. 2010 Nov;48(11):981-8. doi: 10.1097/MLR.0b013e3181ef60d9.	An automated model to identify heart failure patients at risk for 30-day readmission or death using electronic medical record data.	"Amarasingham R(1), Moore BJ, Tabak YP, Drazner MH, Clark CA, Zhang S, Reed WG, Swanson TS, Ma Y, Halm EA."	 
23821473	Europace. 2013 Dec;15(12):1747-56. doi: 10.1093/europace/eut130. Epub 2013 Jul 2.	Revisiting diastolic filling time as mechanistic insight for response to cardiac  resynchronization therapy.	"Verbrugge FH(1), Verhaert D, Grieten L, Dupont M, Rivero-Ayerza M, De Vusser P, Van Herendael H, Reyskens R, Vandervoort P, Tang WH, Mullens W."	 
15464326	J Am Coll Cardiol. 2004 Oct 6;44(7):1446-53.	Outcomes in heart failure patients after major noncardiac surgery.	"Hernandez AF(1), Whellan DJ, Stroud S, Sun JL, O'Connor CM, Jollis JG."	 
22660336	Prof Case Manag. 2012 Jul-Aug;17(4):155-61; quiz 162-3. doi: 10.1097/NCM.0b013e31824c5fca.	Heart failure rehospitalization of the Medicare FFS patient: a state-level analysis exploring 30-day readmission factors.	"Schmeida M(1), Savrin RA."	 
19179405	Eur J Heart Fail. 2009 Apr;11(4):400-5. doi: 10.1093/eurjhf/hfp002. Epub 2009 Jan 29.	Patient-rated changes in fatigue over a 12-month period predict poor outcome in chronic heart failure.	"Smith OR(1), Denollet J, Schiffer AA, Kupper N, Gidron Y."	 
24016384	Psychosomatics. 2014 Jan-Feb;55(1):45-50. doi: 10.1016/j.psym.2013.06.019. Epub 2013 Sep 7.	Behavioral factors and hospital admissions/readmissions in patients with CHF.	"Ketterer MW(1), Draus C(2), McCord J(2), Mossallam U(2), Hudson M(2)."	 
11106884	J Clin Epidemiol. 2000 Nov;53(11):1113-8.	Predicting non-elective hospital readmissions: a multi-site study. Department of  Veterans Affairs Cooperative Study Group on Primary Care and Readmissions.	"Smith DM(1), Giobbie-Hurder A, Weinberger M, Oddone EZ, Henderson WG, Asch DA, Ashton CM, Feussner JR, Ginier P, Huey JM, Hynes DM, Loo L, Mengel CE."	 
24179162	Heart. 2014 Jan;100(2):115-25. doi: 10.1136/heartjnl-2013-303632. Epub 2013 Oct 31.	A novel discharge risk model for patients hospitalised for acute decompensated heart failure incorporating N-terminal pro-B-type natriuretic peptide levels: a European coLlaboration on Acute decompeNsated Heart Failure: ELAN-HF Score.	"Salah K(1), Kok WE, Eurlings LW, Bettencourt P, Pimenta JM, Metra M, Bayes-Genis  A, Verdiani V, Bettari L, Lazzarini V, Damman P, Tijssen JG, Pinto YM."	 
25260275	J Thorac Cardiovasc Surg. 2014 Oct;148(4):1606-14. doi: 10.1016/j.jtcvs.2014.04.009. Epub 2014 Apr 12.	Long-term outcome of patients on continuous-flow left ventricular assist device support.	"Takeda K(1), Takayama H(1), Kalesan B(2), Uriel N(3), Colombo PC(3), Jorde UP(3), Naka Y(4)."	 
20170790	J Am Coll Cardiol. 2010 Feb 16;55(7):645-53. doi: 10.1016/j.jacc.2009.08.078.	"N-terminal pro-B-type natriuretic peptide-guided, intensive patient management in addition to multidisciplinary care in chronic heart failure a 3-arm, prospective, randomized pilot study."	"Berger R(1), Moertl D, Peter S, Ahmadi R, Huelsmann M, Yamuti S, Wagner B, Pacher R."	 
CID: PMC3614153 PMID: 23054925	J Gen Intern Med. 2013 Feb;28(2):269-82. doi: 10.1007/s11606-012-2235-x. Epub 2012 Oct 6.	Impact of social factors on risk of readmission or mortality in pneumonia and heart failure: systematic review.	"Calvillo-King L(1), Arnold D, Eubank KJ, Lo M, Yunyongying P, Stieglitz H, Halm EA."	 
16540785	J Nurs Care Qual. 2006 Apr-Jun;21(2):160-7.	Evidenced-based factors in readmission of patients with heart failure.	"Anderson MA(1), Levsen J, Dusio ME, Bryant PJ, Brown SM, Burr CM, Brown-Benn C."	 
23122393	Eur J Intern Med. 2012 Dec;23(8):760-4. doi: 10.1016/j.ejim.2012.06.006. Epub 2012 Jul 2.	Inclusion into a heart failure critical pathway reduces the risk of death or readmission after hospital discharge.	"Garin N(1), Carballo S, Gerstel E, Lerch R, Meyer P, Zare M, Zawodnik A, Perrier  A."	 
18779079	IEEE Trans Inf Technol Biomed. 2008 Sep;12(5):644-9. doi: 10.1109/TITB.2007.911311.	Emergency readmission criterion: a technique for determining the emergency readmission time window.	"Demir E(1), Chaussalet TJ, Xie H, Millard PH."	 
17356351	Crit Care Nurs Q. 2007 Apr-Jun;30(2):94-103.	Management of acute decompensated heart failure.	Varughese S(1).	 
21643964	Heart Fail Rev. 2012 May;17(3):345-53. doi: 10.1007/s10741-011-9256-0.	"The dilemma, causes and approaches to avoid recurrent hospital readmissions for patients with chronic heart failure."	"Zaya M(1), Phan A, Schwarz ER."	 
10335751	Med Care. 1999 May;37(5):490-501.	Hospital readmissions and quality of care.	"Weissman JS(1), Ayanian JZ, Chasan-Taber S, Sherwood MJ, Roth C, Epstein AM."	 
18315993	Mayo Clin Proc. 2008 Mar;83(3):280-8. doi: 10.4065/83.3.280.	Outcomes of patients with stable heart failure undergoing elective noncardiac surgery.	"Xu-Cai YO(1), Brotman DJ, Phillips CO, Michota FA, Tang WH, Whinney CM, Panneerselvam A, Hixson ED, Garcia M, Francis GS, Jaffer AK."	 
23663957	J Thorac Cardiovasc Surg. 2014 Feb;147(2):718-23.e1. doi: 10.1016/j.jtcvs.2013.04.006. Epub 2013 May 8.	Home monitoring program reduces interstage mortality after the modified Norwood procedure.	"Siehr SL(1), Norris JK(1), Bushnell JA(1), Ramamoorthy C(2), Reddy VM(3), Hanley  FL(3), Wright GE(4)."	 
CID: PMC4128541 PMID: 25099997	BMC Cardiovasc Disord. 2014 Aug 7;14:97. doi: 10.1186/1471-2261-14-97.	Using the LACE index to predict hospital readmissions in congestive heart failure patients.	"Wang H(1), Robinson RD, Johnson C, Zenarosa NR, Jayswal RD, Keithley J, Delaney KA."	 
24975912	Heart Fail Clin. 2014 Jul;10(3):503-10. doi: 10.1016/j.hfc.2014.04.012.	Outcomes in patients with heart failure with preserved ejection fraction.	"Poppe KK(1), Doughty RN(2)."	 
11479477	Am Heart J. 2001 Aug;142(2):350-7.	Predictors of costs of caring for elderly patients discharged with heart failure.	"Wexler DJ(1), Chen J, Smith GL, Radford MJ, Yaari S, Bradford WD, Krumholz HM."	 
15518609	Am J Cardiol. 2004 Nov 1;94(9):1147-52.	Gender and risk of adverse outcomes in heart failure.	"Lee WY(1), Capra AM, Jensvold NG, Gurwitz JH, Go AS; Epidemiology, Practice, Outcomes, and Cost of Heart Failure (EPOCH) Study."	 
24043477	Int J Cardiovasc Imaging. 2014 Jan;30(1):47-55. doi: 10.1007/s10554-013-0294-7. Epub 2013 Sep 17.	The prognostic value of a new tissue Doppler parameter in patients with heart failure.	"Mornoş C(1), Petrescu L, Ionac A, Cozma D."	 
18619178	Pol Arch Med Wewn. 2008 May;118(5):280-8.	Long-term prognosis and risk factors for cardiac adverse events in patients with  chronic systolic heart failure due to hypertension.	"Szyguła-Jurkiewicz B(1), Owczarek A, Duszańska A, Sikora J, Lekston A, Pudlo R, Wojnicz R, Poloński L."	 
24662470	Arch Cardiovasc Dis. 2014 Mar;107(3):158-68. doi: 10.1016/j.acvd.2014.01.012. Epub 2014 Mar 21.	Two-year outcome of patients after a first hospitalization for heart failure: A national observational study.	"Tuppin P(1), Cuerq A(2), de Peretti C(3), Fagot-Campagna A(2), Danchin N(4), Juillière Y(5), Alla F(2), Allemand H(2), Bauters C(6), Drici MD(6), Hagège A(6), Jondeau G(6), Jourdain P(6), Leizorovicz A(6), Paccaud F(6)."	 
24642392	Angiology. 2015 Mar;66(3):271-7. doi: 10.1177/0003319714525656. Epub 2014 Mar 17.	A 2-year follow-up of oxidative stress levels in patients with ST-segment elevation myocardial infarction: a subanalysis of the ALPS-AMI study.	"Abe N(1), Kashima Y(2), Izawa A(1), Motoki H(1), Ebisawa S(1), Miyashita Y(1), Imamura H(3), Ikeda U(1)."	 
24621877	JACC Heart Fail. 2013 Jun;1(3):245-51. doi: 10.1016/j.jchf.2013.01.008. Epub 2013 Jun 3.	"Validated, electronic health record deployable prediction models for assessing patient risk of 30-day rehospitalization and mortality in older heart failure patients."	"Eapen ZJ(1), Liang L(2), Fonarow GC(3), Heidenreich PA(4), Curtis LH(2), Peterson ED(2), Hernandez AF(2)."	 
CID: PMC4175654 PMID: 24825244	J Gen Intern Med. 2014 Oct;29(10):1333-40. doi: 10.1007/s11606-014-2862-5. Epub 2014 May 14.	"National patterns of risk-standardized mortality and readmission after hospitalization for acute myocardial infarction, heart failure, and pneumonia: update on publicly reported outcomes measures based on the 2013 release."	"Suter LG(1), Li SX, Grady JN, Lin Z, Wang Y, Bhat KR, Turkmani D, Spivack SB, Lindenauer PK, Merrill AR, Drye EE, Krumholz HM, Bernheim SM."	 
19644216	Circ J. 2009 Oct;73(10):1893-900. Epub 2009 Jul 31.	Characteristics and outcomes of hospitalized patients with heart failure and reduced vs preserved ejection fraction. Report from the Japanese Cardiac Registry of Heart Failure in Cardiology (JCARE-CARD).	"Tsuchihashi-Makaya M(1), Hamaguchi S, Kinugawa S, Yokota T, Goto D, Yokoshiki H,  Kato N, Takeshita A, Tsutsui H; JCARE-CARD Investigators."	 
10618565	Am Heart J. 2000 Jan;139(1 Pt 1):72-7.	Predictors of readmission among elderly survivors of admission with heart failure.	"Krumholz HM(1), Chen YT, Wang Y, Vaccarino V, Radford MJ, Horwitz RI."	 
CID: PMC3898430 PMID: 24259033	BMJ. 2013 Nov 20;347:f6571. doi: 10.1136/bmj.f6571.	Hospital readmission performance and patterns of readmission: retrospective cohort study of Medicare admissions.	"Dharmarajan K(1), Hsieh AF, Lin Z, Bueno H, Ross JS, Horwitz LI, Barreto-Filho JA, Kim N, Suter LG, Bernheim SM, Drye EE, Krumholz HM."	 
20202778	Patient Educ Couns. 2010 Mar;78(3):297-315. doi: 10.1016/j.pec.2010.01.016. Epub  2010 Mar 3.	"Effectiveness of self-management interventions on mortality, hospital readmissions, chronic heart failure hospitalization rate and quality of life in patients with chronic heart failure: a systematic review."	"Ditewig JB(1), Blok H, Havers J, van Veenendaal H."	 
4031337	J Am Geriatr Soc. 1985 Sep;33(9):595-601.	Hospital readmissions among the elderly.	"Gooding J, Jette AM."	 
11493126	Arch Intern Med. 2001 Aug 13-27;161(15):1849-56.	Relationship of depression to increased risk of mortality and rehospitalization in patients with congestive heart failure.	"Jiang W(1), Alexander J, Christopher E, Kuchibhatla M, Gaulden LH, Cuffe MS, Blazing MA, Davenport C, Califf RM, Krishnan RR, O'Connor CM."	 
18361212	Monaldi Arch Chest Dis. 2007 Sep;68(3):154-64.	[BNP-guided therapy optimizes the timing of discharge and the medium term risk stratification in patients admitted for congestive heart failure].	[Article in Italian]	 
22269723	Ann Thorac Surg. 2012 Feb;93(2):559-64. doi: 10.1016/j.athoracsur.2011.10.058.	Impact of preoperative angiotensin-converting enzyme inhibitor use on clinical outcomes after cardiac surgery.	"Ouzounian M(1), Buth KJ, Valeeva L, Morton CC, Hassan A, Ali IS."	 
12837140	J Am Med Dir Assoc. 2003 Jul-Aug;4(4):195-9.	Associations among processes and outcomes of care for Medicare nursing home residents with acute heart failure.	"Hutt E(1), Frederickson E, Ecord M, Kramer AM."	 
CID: PMC3802532 PMID: 23861483	Circ Cardiovasc Qual Outcomes. 2013 Jul;6(4):444-50. doi: 10.1161/CIRCOUTCOMES.111.000101.	Hospital strategies associated with 30-day readmission rates for patients with heart failure.	"Bradley EH(1), Curry L, Horwitz LI, Sipsma H, Wang Y, Walsh MN, Goldmann D, White N, Piña IL, Krumholz HM."	 
CID: PMC3237965 PMID: 21720934	Clin Orthop Relat Res. 2012 Jan;470(1):166-71. doi: 10.1007/s11999-011-1957-0.	Decreased length of stay after TKA is not associated with increased readmission rates in a national Medicare sample.	"Vorhies JS(1), Wang Y, Herndon JH, Maloney WJ, Huddleston JI."	 
21709059	Circulation. 2011 Jul 19;124(3):289-96. doi: 10.1161/CIRCULATIONAHA.110.011130. Epub 2011 Jun 27.	"Mortality and readmission of patients with heart failure, atrial fibrillation, or coronary artery disease undergoing noncardiac surgery: an analysis of 38 047 patients."	"van Diepen S(1), Bakal JA, McAlister FA, Ezekowitz JA."	 
19816874	Clin Cardiol. 2009 Nov;32(11):E33-8. doi: 10.1002/clc.20490.	Usefulness of brain natriuretic peptide level at implant in predicting mortality  in patients with advanced but stable heart failure receiving cardiac resynchronization therapy.	"El-Saed A(1), Voigt A, Shalaby A."	 
CID: PMC1557854 PMID: 16899118	BMC Geriatr. 2006 Aug 9;6:12.	Determinants of short and long term functional recovery after hospitalization for community-acquired pneumonia in the elderly: role of inflammatory markers.	"El Solh A(1), Pineda L, Bouquin P, Mankowski C."	 
CID: PMC3413533 PMID: 22709128	BMC Cardiovasc Disord. 2012 Jun 18;12:43. doi: 10.1186/1471-2261-12-43.	Patterns of beta-blocker intensification in ambulatory heart failure patients and short-term association with hospitalization.	"Allen LA(1), Magid DJ, Zeng C, Peterson PN, Clarke CL, Shetterly S, Brand DW, Masoudi FA."	 
21930853	Ann Intern Med. 2011 Sep 20;155(6):361-7. doi: 10.7326/0003-4819-155-6-201109200-00004.	Health care system delay and heart failure in patients with ST-segment elevation  myocardial infarction treated with primary percutaneous coronary intervention: follow-up of population-based medical registry data.	"Terkelsen CJ(1), Jensen LO, Tilsted HH, Trautner S, Johnsen SP, Vach W, Bøtker HE, Thuesen L, Lassen JF."	 
11573708	J Cardiovasc Electrophysiol. 2001 Sep;12(9):990-5.	Relationship between rehospitalization and future death in patients treated for potentially lethal arrhythmia.	"Hallstrom AP(1), Greene HL, Wilkoff BL, Zipes DP, Schron E, Ledingham RB; Antiarrhythmics Versus Implantable Defibrillators (AVID) Investigators."	 
CID: PMC4388787 [Available on 2016-04-01] PMID: 25642907	JAMA Intern Med. 2015 Apr;175(4):559-65. doi: 10.1001/jamainternmed.2014.7756.	Functional impairment and hospital readmission in Medicare seniors.	"Greysen SR(1), Stijacic Cenzer I(2), Auerbach AD(1), Covinsky KE(3)."	 
CID: PMC3482612 PMID: 22748486	J Card Fail. 2012 Jul;18(7):534-40. doi: 10.1016/j.cardfail.2012.05.003.	Central sleep apnea is a predictor of cardiac readmission in hospitalized patients with systolic heart failure.	"Khayat R(1), Abraham W, Patt B, Brinkman V, Wannemacher J, Porter K, Jarjoura D."	 
24762249	Future Cardiol. 2014 Mar;10(2):221-7. doi: 10.2217/fca.14.9.	Using galectin-3 to reduce heart failure rehospitalization.	"Xue Y(1), Maisel A, Peacock WF."	 
19341856	J Am Coll Cardiol. 2009 Apr 7;53(14):1167-75. doi: 10.1016/j.jacc.2008.12.037.	Heart failure in Hispanics.	"Vivo RP(1), Krim SR, Cevik C, Witteles RM."	 
24128310	Echocardiography. 2014 Apr;31(4):434-40. doi: 10.1111/echo.12390. Epub 2013 Oct 15.	Peak myocardial acceleration during isovolumic relaxation time predicts the occurrence of rehospitalization in chronic heart failure: data from the Daunia heart failure registry.	"Correale M(1), Totaro A, Ferraretti A, Passero T, De Rosa F, Musaico F, Ieva R, Di Biase M, Brunetti ND."	 
10562014	Home Healthc Nurse. 1999 Jun;17(6):373-81.	Predictors of hospital readmission among the elderly with congestive heart failure.	"Hoskins LM(1), Walton-Moss B, Clark HM, Schroeder MA, Thiel L Sr."	 
22980303	Am Heart J. 2012 Sep;164(3):365-72. doi: 10.1016/j.ahj.2012.06.010. Epub 2012 Aug 17.	Predicting the risk of unplanned readmission or death within 30 days of discharge after a heart failure hospitalization.	"Au AG(1), McAlister FA, Bakal JA, Ezekowitz J, Kaul P, van Walraven C."	 
23388112	Circ Heart Fail. 2013 Mar;6(2):193-202. doi: 10.1161/CIRCHEARTFAILURE.112.000075. Epub 2013 Feb 6.	Outcomes and care of patients with acute heart failure syndromes and cardiac troponin elevation.	"Braga JR(1), Tu JV, Austin PC, Chong A, You JJ, Farkouh ME, Ross HJ, Lee DS."	 
12028202	J Am Geriatr Soc. 2002 Feb;50(2):223-9.	Precipitants of emergency room visits and acute hospitalization in short-stay medicare nursing home residents.	"Hutt E(1), Ecord M, Eilertsen TB, Frederickson E, Kramer AM."	 
24798523	Ann Intern Med. 2014 May 6;160(9):603-11. doi: 10.7326/M13-1879.	Comparative effectiveness of cardiac resynchronization therapy with an implantable cardioverter-defibrillator versus defibrillator therapy alone: a cohort study.	"Masoudi FA, Mi X, Curtis LH, Peterson PN, Curtis JP, Fonarow GC, Hammill SC, Heidenreich PA, Al-Khatib SM, Piccini JP, Qualls LG, Hernandez AF."	 
20102924	Am J Cardiol. 2010 Jan 15;105(2):229-34. doi: 10.1016/j.amjcard.2009.09.008.	Effect of Beta-blocker therapy on rehospitalization rates in women versus men with heart failure and preserved ejection fraction.	"Farasat SM(1), Bolger DT, Shetty V, Menachery EP, Gerstenblith G, Kasper EK, Najjar SS."	 
20484187	Circ Heart Fail. 2010 May;3(3):e13; author reply e17. doi: 10.1161/CIRCHEARTFAILURE.110.947614.	"Letter by DiDomenico et al regarding article, ""Recent national trends in readmission rates after heart failure hospitalization""."	"DiDomenico RJ, Kondos GT, Dickens C."	 
CID: PMC3098576 PMID: 21430286	Circ Heart Fail. 2011 May;4(3):308-16. doi: 10.1161/CIRCHEARTFAILURE.110.959031.  Epub 2011 Mar 23.	"Socioeconomic status, Medicaid coverage, clinical comorbidity, and rehospitalization or death after an incident heart failure hospitalization: Atherosclerosis Risk in Communities cohort (1987 to 2004)."	"Foraker RE(1), Rose KM, Suchindran CM, Chang PP, McNeill AM, Rosamond WD."	 
20495203	Eur J Heart Fail. 2010 Sep;12(9):990-4. doi: 10.1093/eurjhf/hfq076. Epub 2010 May 22.	Mechanical circulatory support in patients of advanced age.	"Drews T(1), Stepanenko A, Dandel M, Buz S, Lehmkuhl HB, Hetzer R."	 
19077807	Crit Care Nurs Q. 2009 Jan-Mar;32(1):33-43; quiz 44-5. doi: 10.1097/01.CNQ.0000343132.34942.64.	Factors impacting readmissions of older patients with heart failure.	Hodges P(1).	 
24378355	J Nurs Care Qual. 2014 Apr-Jun;29(2):115-23. doi: 10.1097/NCQ.0000000000000042.	Predictors of excess heart failure readmissions: implications for nursing practice.	"Stamp KD(1), Flanagan J, Gregas M, Shindul-Rothschild J."	 
12644013	Eur J Heart Fail. 2003 Mar;5(2):201-9.	Factors influencing the length of hospital stay of patients with heart failure.	"Wright SP(1), Verouhis D, Gamble G, Swedberg K, Sharpe N, Doughty RN."	 
CID: PMC3423276 PMID: 22949765	Tex Heart Inst J. 2012;39(4):500-6.	Potential role of plasma myeloperoxidase level in predicting long-term outcome of acute myocardial infarction.	"Kaya MG(1), Yalcin R, Okyay K, Poyraz F, Bayraktar N, Pasaoglu H, Boyaci B, Cengel A."	 
25095884	Circulation. 2014 Sep 2;130(10):845-53. doi: 10.1161/CIRCULATIONAHA.114.008653. Epub 2014 Aug 5.	"Temporal trends in patient characteristics and outcomes among Medicare beneficiaries undergoing primary prevention implantable cardioverter-defibrillator placement in the United States, 2006-2010. Results from the National Cardiovascular Data Registry's Implantable Cardioverter-Defibrillator Registry."	"Borne RT(1), Peterson PN(2), Greenlee R(2), Heidenreich PA(2), Wang Y(2), Curtis  JP(2), Tzou WS(2), Varosy PD(2), Kremers MS(2), Masoudi FA(2)."	 
11397355	Am J Cardiol. 2001 Jun 15;87(12):1367-71.	Socioeconomic status as an independent risk factor for hospital readmission for heart failure.	"Philbin EF(1), Dec GW, Jenkins PL, DiSalvo TG."	 
19233103	Arch Cardiovasc Dis. 2009 Jan;102(1):1-3. doi: 10.1016/j.acvd.2008.10.017. Epub 2009 Jan 29.	Integrated approach to the management of heart failure: role of outpatient programmes.	Trochu JN.	 
18072670	Medsurg Nurs. 2007 Oct;16(5):317-21.	Sociodemographic variables predicting poor post-discharge outcomes for hospitalized elders with heart failure.	Roe-Prior P(1).	 
10626081	Clin Cardiol. 1999 Dec;22(12):791-4.	Racial differences in patients with heart failure.	"Afzal A(1), Ananthasubramaniam K, Sharma N, al-Malki Q, Ali AS, Jacobsen G, Jafri SM."	 
19233107	Arch Cardiovasc Dis. 2009 Jan;102(1):29-41. doi: 10.1016/j.acvd.2008.10.013. Epub 2009 Feb 10.	RESICARD: East Paris network for the management of heart failure: absence of effect on mortality and rehospitalization in patients with severe heart failure admitted following severe decompensation.	"Assyag P(1), Renaud T, Cohen-Solal A, Viaud M, Krys H, Bundalo A, Michel PL, Boukobza R, Bourgueil Y, Cohen A."	 
9605777	Arch Intern Med. 1998 May 25;158(10):1067-72.	Effects of a home-based intervention among patients with congestive heart failure discharged from acute hospital care.	"Stewart S(1), Pearson S, Horowitz JD."	 
23040596	Am J Cardiol. 2013 Jan 1;111(1):79-84. doi: 10.1016/j.amjcard.2012.08.050. Epub 2012 Oct 2.	Development of a method to risk stratify patients with heart failure for 30-day readmission using implantable device diagnostics.	"Whellan DJ(1), Sarkar S, Koehler J, Small RS, Boyle A, Warman EN, Abraham WT."	 
23219302	J Am Coll Cardiol. 2013 Jan 29;61(4):391-403. doi: 10.1016/j.jacc.2012.09.038. Epub 2012 Dec 5.	Rehospitalization for heart failure: problems and perspectives.	"Gheorghiade M(1), Vaduganathan M, Fonarow GC, Bonow RO."	 
15820161	Am J Cardiol. 2005 Apr 15;95(8):955-9.	"Effect of gender on treatment, resource utilization, and outcomes in congestive heart failure in Quebec, Canada."	"Sheppard R(1), Behlouli H, Richard H, Pilote L."	 
14675582	Am J Cardiol. 2003 Dec 15;92(12):1442-4.	Prognostic significance of an elevated creatine kinase in the absence of an elevated troponin I during an acute coronary syndrome.	"Yee KC(1), Mukherjee D, Smith DE, Kline-Rogers EM, Fang J, Mehta RH, Almanaseer Y, Akhras E, Cooper JV, Eagle KA."	 
23612038	J Cardiovasc Nurs. 2014 May-Jun;29(3):232-41. doi: 10.1097/JCN.0b013e31828f0d25.	Discharge clinical characteristics and 60-day readmission in patients hospitalized with heart failure.	Anderson KM(1).	 
21397374	Rev Esp Cardiol. 2011 May;64(5):365-72. doi: 10.1016/j.recesp.2010.10.017. Epub 2011 Mar 11.	[Comparative prognostic value of plasma and urinary N-terminal pro-B-type natriuretic peptide in patients with acute destabilized heart failure].	[Article in Spanish]	 
12821540	Circulation. 2003 Jul 15;108(2):184-91. Epub 2003 Jun 23.	Care and outcomes of patients newly hospitalized for heart failure in the community treated by cardiologists compared with other specialists.	"Jong P(1), Gong Y, Liu PP, Austin PC, Lee DS, Tu JV."	 
17697830	Am J Cardiol. 2007 Aug 15;100(4):690-6. Epub 2007 Jun 26.	"Comparative effectiveness of beta-adrenergic antagonists (atenolol, metoprolol tartrate, carvedilol) on the risk of rehospitalization in adults with heart failure."	"Go AS(1), Yang J, Gurwitz JH, Hsu J, Lane K, Platt R."	 
17394181	Arthritis Rheum. 2007 Apr 15;57(3):516-23.	Risk of congestive heart failure with nonsteroidal antiinflammatory drugs and selective Cyclooxygenase 2 inhibitors: a class effect?	"Hudson M(1), Rahme E, Richard H, Pilote L."	 
2254567	J Am Geriatr Soc. 1990 Dec;38(12):1290-5.	Early readmission of elderly patients with congestive heart failure.	"Vinson JM(1), Rich MW, Sperry JC, Shah AS, McNamara T."	 
15359056	West J Nurs Res. 2004 Aug;26(5):533-46.	Variables predictive of poor postdischarge outcomes for hospitalized elders in heart failure.	Roe-Prior P(1).	 
CID: PMC2886544 PMID: 20386769	Can J Cardiol. 2010 Apr;26(4):203-7.	Long-term influence of mild or moderate ischemic mitral regurgitation after off-pump coronary artery bypass surgery.	"Hong JM(1), Cartier R, Pellerin M, Demers P, Bouchard D, Couture P."	 
